date,event_name,venue,gender,match_type,winner,won_by_runs,won_by_wickets,player_of_match,toss_winner,toss_decision,batting_first_team,batting_first_runs,batting_first_wickets,batting_first_overs,batting_second_team,batting_second_runs,batting_second_wickets,batting_second_overs,target_runs,target_overs,file_name
2/17/2007,Sri Lanka in India ODI Series,Andhra Cricket Association-Visakhapatnam District Cricket Association Stadium,male,ODI,India,,7,LPC Silva,India,field,Sri Lanka,259,7,47,India,263,3,41,260,47,267713.json
2/18/2007,Chappell-Hadlee Trophy,Eden Park,male,ODI,New Zealand,,5,LRPL Taylor,New Zealand,field,Australia,336,4,50,New Zealand,340,5,48.3,337,50,251495.json
2/20/2007,Chappell-Hadlee Trophy,Seddon Park,male,ODI,New Zealand,,1,ML Hayden,Australia,bat,Australia,346,5,50,New Zealand,350,9,49.3,347,50,251496.json
3/5/2007,Women's Quadrangular Series,MA Chidambaram Stadium,female,ODI,Australia,,6,S Nitschke,New Zealand,bat,New Zealand,177,9,50,Australia,181,4,38.2,178,50,276226.json
3/13/2007,ICC World Cup,Sabina Park,male,ODI,West Indies,54,,DR Smith,Pakistan,field,West Indies,241,9,50,Pakistan,187,10,47.2,242,50,247457.json
3/14/2007,ICC World Cup,Warner Park,male,ODI,Australia,203,,RT Ponting,Scotland,field,Australia,334,6,50,Scotland,131,9,40.1,335,50,247458.json
3/15/2007,ICC World Cup,Queen's Park Oval,male,ODI,Sri Lanka,243,,DPMD Jayawardene,Sri Lanka,bat,Sri Lanka,321,6,49.5,Bermuda,78,10,24.4,322,50,247460.json
3/15/2007,ICC World Cup,Sabina Park,male,ODI,,,,JP Bray,Zimbabwe,field,Ireland,221,9,49.5,Zimbabwe,221,10,49.5,222,50,247461.json
3/16/2007,ICC World Cup,Warner Park,male,ODI,South Africa,221,,HH Gibbs,Netherlands,field,South Africa,353,3,40,Netherlands,132,9,40,354,40,247462.json
3/16/2007,ICC World Cup,Beausejour Stadium,male,ODI,New Zealand,,6,SB Styris,New Zealand,field,England,209,7,50,New Zealand,210,4,41,210,50,247463.json
