date,event_name,venue,gender,match_type,winner,won_by_runs,won_by_wickets,player_of_match,toss_winner,toss_decision,batting_first_team,batting_first_runs,batting_first_wickets,batting_first_overs,batting_second_team,batting_second_runs,batting_second_wickets,batting_second_overs,target_runs,target_overs,file_name
12/27/2013,Pakistan v Sri Lanka ODI Series,Sheikh Zayed Stadium,male,ODI,Sri Lanka,,2,LD Chandimal,Pakistan,bat,Pakistan,232,10,49.3,Sri Lanka,235,8,49.4,233,50,657645.json
1/1/2014,West Indies in New Zealand ODI Series,Queenstown Events Centre,male,ODI,New Zealand,159,,CJ Anderson,West Indies,field,New Zealand,283,4,21,West Indies,124,5,21,284,21,661689.json
1/4/2014,West Indies in New Zealand ODI Series,Saxton Oval,male,ODI,New Zealand,58,,MJ Guptill,New Zealand,bat,New Zealand,285,6,50,West Indies,134,5,33.4,193,33.4,661691.json
1/8/2014,West Indies in New Zealand ODI Series,Seddon Park,male,ODI,West Indies,203,,DJ Bravo,New Zealand,field,West Indies,363,4,50,New Zealand,160,10,29.5,364,50,661693.json
1/12/2014,England in Australia ODI Series,Melbourne Cricket Ground,male,ODI,Australia,,6,AJ Finch,England,bat,England,269,7,50,Australia,270,4,45.4,270,50,636159.json
1/17/2014,England in Australia ODI Series,Brisbane Cricket Ground,male,ODI,Australia,,1,JP Faulkner,England,bat,England,300,8,50,Australia,301,9,49.3,301,50,636160.json
1/19/2014,England in Australia ODI Series,Sydney Cricket Ground,male,ODI,Australia,,7,DA Warner,England,bat,England,243,9,50,Australia,244,3,40,244,50,636161.json
1/19/2014,Women's Ashes,Melbourne Cricket Ground,female,ODI,England,,7,LS Greenway,Australia,bat,Australia,209,3,50,England,210,3,46.5,210,50,666039.json
1/19/2014,India in New Zealand ODI Series,McLean Park,male,ODI,New Zealand,24,,CJ Anderson,India,field,New Zealand,292,7,50,India,268,10,48.4,293,50,667641.json
1/22/2014,India in New Zealand ODI Series,Seddon Park,male,ODI,New Zealand,15,,KS Williamson,India,field,New Zealand,271,7,42,India,277,9,41.3,293,41.3,667643.json
1/23/2014,Women's Ashes,Melbourne Cricket Ground,female,ODI,Australia,26,,NE Bolton,Australia,bat,Australia,266,7,50,England,240,10,46.2,267,50,666041.json
1/23/2014,ICC Cricket World Cup Qualifier,Hagley Oval,male,ODI,Scotland,170,,CS MacLeod,Canada,field,Scotland,341,9,50,Canada,171,10,39.2,342,50,696731.json
1/23/2014,ICC Cricket World Cup Qualifier,Bert Sutcliffe Oval,male,ODI,Kenya,,4,IA Karim,Kenya,field,Netherlands,265,6,50,Kenya,266,6,35.4,266,50,696733.json
1/24/2014,England in Australia ODI Series,Western Australia Cricket Association Ground,male,ODI,England,57,,BA Stokes,Australia,field,England,316,8,50,Australia,259,10,47.4,317,50,636162.json
1/25/2014,India in New Zealand ODI Series,Eden Park,male,ODI,,,,RA Jadeja,India,field,New Zealand,314,10,50,India,314,9,50,315,50,667645.json
1/26/2014,England in Australia ODI Series,Adelaide Oval,male,ODI,Australia,5,,JP Faulkner,Australia,bat,Australia,217,9,50,England,212,10,49.4,218,50,636163.json
1/26/2014,Women's Ashes,Bellerive Oval,female,ODI,Australia,,4,EA Perry,England,bat,England,268,4,50,Australia,269,6,49.3,269,50,666043.json
1/28/2014,India in New Zealand ODI Series,Seddon Park,male,ODI,New Zealand,,7,LRPL Taylor,India,bat,India,278,5,50,New Zealand,280,3,48.1,279,50,667647.json
1/28/2014,ICC Cricket World Cup Qualifier,Bay Oval,male,ODI,Netherlands,,8,MJG Rippon,Canada,bat,Canada,210,10,50,Netherlands,212,2,36.4,211,50,696747.json
1/30/2014,ICC Cricket World Cup Qualifier,Hagley Oval,male,ODI,Scotland,,3,PL Mommsen,Kenya,bat,Kenya,260,10,50,Scotland,261,7,49.3,261,50,696759.json
1/31/2014,India in New Zealand ODI Series,Westpac Stadium,male,ODI,New Zealand,87,,LRPL Taylor,India,field,New Zealand,303,5,50,India,216,10,49.4,304,50,667649.json
2/17/2014,Sri Lanka in Bangladesh ODI Series,Shere Bangla National Stadium,male,ODI,Sri Lanka,13,,NLTC Perera,Bangladesh,field,Sri Lanka,180,10,40,Bangladesh,167,10,39.2,181,43,690355.json
2/20/2014,Sri Lanka in Bangladesh ODI Series,Shere Bangla National Stadium,male,ODI,Sri Lanka,61,,KC Sangakkara,Sri Lanka,bat,Sri Lanka,289,6,50,Bangladesh,228,10,43,290,50,690357.json
2/22/2014,Sri Lanka in Bangladesh ODI Series,Shere Bangla National Stadium,male,ODI,Sri Lanka,,6,MDKJ Perera,Sri Lanka,field,Bangladesh,240,8,50,Sri Lanka,246,4,47.3,241,50,690359.json
2/23/2014,,Sabina Park,male,ODI,West Indies,,4,DJ Bravo,Ireland,bat,Ireland,202,10,49.2,West Indies,205,6,36.4,203,50,702139.json
2/25/2014,Asia Cup,Khan Shaheb Osman Ali Stadium,male,ODI,Sri Lanka,12,,SL Malinga,Sri Lanka,bat,Sri Lanka,296,6,50,Pakistan,284,10,48.5,297,50,710291.json
2/26/2014,Asia Cup,Khan Shaheb Osman Ali Stadium,male,ODI,India,,6,V Kohli,India,field,Bangladesh,279,7,50,India,280,4,49,280,50,710293.json
2/28/2014,England in West Indies ODI Series,Sir Vivian Richards Stadium,male,ODI,West Indies,15,,DJ Bravo,England,field,West Indies,269,6,50,England,254,6,50,270,50,636533.json
2/28/2014,Asia Cup,Khan Shaheb Osman Ali Stadium,male,ODI,Sri Lanka,,2,KC Sangakkara,Sri Lanka,field,India,264,9,50,Sri Lanka,265,8,49.2,265,50,710297.json
3/2/2014,England in West Indies ODI Series,Sir Vivian Richards Stadium,male,ODI,England,,3,SD Parry,England,field,West Indies,159,10,44.2,England,163,7,44.5,160,50,636534.json
3/2/2014,Asia Cup,Shere Bangla National Stadium,male,ODI,Pakistan,,1,Mohammad Hafeez,Pakistan,field,India,245,8,50,Pakistan,249,9,49.4,246,50,710301.json
3/4/2014,Asia Cup,Shere Bangla National Stadium,male,ODI,Pakistan,,3,Shahid Afridi,Bangladesh,bat,Bangladesh,326,3,50,Pakistan,329,7,49.5,327,50,710305.json
3/5/2014,England in West Indies ODI Series,Sir Vivian Richards Stadium,male,ODI,England,25,,JE Root,West Indies,field,England,303,6,50,West Indies,278,10,47.4,304,50,636535.json
3/6/2014,Asia Cup,Shere Bangla National Stadium,male,ODI,Sri Lanka,,3,AD Mathews,Bangladesh,bat,Bangladesh,204,9,50,Sri Lanka,208,7,49,205,50,710309.json
3/8/2014,Asia Cup,Shere Bangla National Stadium,male,ODI,Sri Lanka,,5,SL Malinga,Pakistan,bat,Pakistan,260,5,50,Sri Lanka,261,5,46.2,261,50,710311.json
5/4/2014,Asian Cricket Council Premier League,Kinrara Academy Oval,male,ODI,United Arab Emirates,,2,Mohammad Shahzad,United Arab Emirates,field,Hong Kong,157,10,45.2,United Arab Emirates,158,8,48.3,158,50,736511.json
5/6/2014,Sri Lanka tour of England and Ireland,Clontarf Cricket Club Ground,male,ODI,Sri Lanka,79,,BAW Mendis,Ireland,field,Sri Lanka,219,8,50,Ireland,140,10,39.5,220,50,706767.json
5/9/2014,,Mannofield Park,male,ODI,England,39,,MA Leask,Scotland,field,England,167,6,20,Scotland,133,9,20,173,20,684679.json
5/22/2014,Sri Lanka in England ODI Series,Kennington Oval,male,ODI,England,81,,CJ Jordan,Sri Lanka,field,England,247,6,39,Sri Lanka,144,10,27.5,226,32,667889.json
5/25/2014,Sri Lanka in England ODI Series,Riverside Ground,male,ODI,Sri Lanka,157,,TM Dilshan,England,field,Sri Lanka,256,8,50,England,99,10,26.1,257,50,667891.json
5/28/2014,Sri Lanka in England ODI Series,Old Trafford,male,ODI,England,,10,CJ Jordan,England,field,Sri Lanka,67,10,24,England,73,0,12.1,68,50,667893.json
5/31/2014,Sri Lanka in England ODI Series,Lord's,male,ODI,Sri Lanka,7,,JC Buttler,England,field,Sri Lanka,300,9,50,England,293,8,50,301,50,667895.json
6/3/2014,Sri Lanka in England ODI Series,Edgbaston,male,ODI,Sri Lanka,,6,HDRL Thirimanne,England,bat,England,219,10,48.1,Sri Lanka,222,4,48.2,220,50,667897.json
6/15/2014,India in Bangladesh ODI Series,Shere Bangla National Stadium,male,ODI,India,,7,AM Rahane,Bangladesh,bat,Bangladesh,272,9,50,India,153,3,24.5,150,26,744679.json
6/17/2014,India in Bangladesh ODI Series,Shere Bangla National Stadium,male,ODI,India,47,,STR Binny,Bangladesh,field,India,105,10,25.3,Bangladesh,58,10,17.4,106,41,744681.json
6/19/2014,India in Bangladesh ODI Series,Shere Bangla National Stadium,male,ODI,,,,,India,bat,India,119,9,34.2,,,,,,,744683.json
7/6/2014,South Africa in Sri Lanka ODI Series,R Premadasa Stadium,male,ODI,South Africa,75,,HM Amla,South Africa,bat,South Africa,304,5,50,Sri Lanka,229,10,40.3,305,50,730083.json
7/9/2014,South Africa in Sri Lanka ODI Series,Pallekele International Cricket Stadium,male,ODI,Sri Lanka,87,,TM Dilshan,Sri Lanka,bat,Sri Lanka,267,10,49.2,South Africa,180,10,38.1,268,50,730085.json
7/12/2014,South Africa in Sri Lanka ODI Series,Mahinda Rajapaksa International Cricket Stadium,male,ODI,South Africa,82,,AB de Villiers,South Africa,bat,South Africa,339,5,50,Sri Lanka,257,10,44.3,340,50,730087.json
8/17/2014,South Africa in Zimbabwe ODI Series,Queens Sports Club,male,ODI,South Africa,93,,HM Amla,Zimbabwe,field,South Africa,309,3,50,Zimbabwe,216,10,49.5,310,50,736437.json
8/19/2014,South Africa in Zimbabwe ODI Series,Queens Sports Club,male,ODI,South Africa,61,,WD Parnell,Zimbabwe,field,South Africa,257,10,49.4,Zimbabwe,196,10,49.1,258,50,736439.json
8/20/2014,Bangladesh in West Indies ODI Series,National Cricket Stadium,male,ODI,West Indies,,3,KA Pollard,West Indies,field,Bangladesh,217,9,50,West Indies,219,7,39.4,218,50,730287.json
8/21/2014,ICC Women's Championship,North Marine Road Ground,female,ODI,England,42,,HC Knight,England,field,India,193,8,47,England,153,3,30.1,112,30.1,722389.json
8/21/2014,South Africa in Zimbabwe ODI Series,Queens Sports Club,male,ODI,South Africa,,7,Q de Kock,South Africa,field,Zimbabwe,165,10,39.5,South Africa,171,3,27.2,166,50,736441.json
8/22/2014,Bangladesh in West Indies ODI Series,National Cricket Stadium,male,ODI,West Indies,177,,SP Narine,Bangladesh,field,West Indies,247,7,50,Bangladesh,70,10,24.4,248,50,730289.json
8/23/2014,ICC Women's Championship,North Marine Road Ground,female,ODI,England,13,,CM Edwards,India,field,England,214,9,50,India,201,10,48.4,215,50,722391.json
8/23/2014,Pakistan in Sri Lanka ODI Series,Mahinda Rajapaksa International Cricket Stadium,male,ODI,Pakistan,,4,Sohaib Maqsood,Pakistan,field,Sri Lanka,275,7,45,Pakistan,277,6,44.5,275,45,745159.json
8/23/2014,ICC Women's Championship,Peter Burge Oval,female,ODI,Australia,,5,JL Jonassen,Australia,field,Pakistan,121,8,25,Australia,124,5,24.3,122,25,754787.json
8/25/2014,Bangladesh in West Indies ODI Series,Warner Park,male,ODI,West Indies,91,,D Ramdin,West Indies,bat,West Indies,338,7,50,Bangladesh,247,8,50,339,50,730291.json
8/25/2014,Zimbabwe Triangular Series,Harare Sports Club,male,ODI,Australia,198,,MR Marsh,Zimbabwe,field,Australia,350,6,50,Zimbabwe,152,10,39.3,351,50,736443.json
8/26/2014,Pakistan in Sri Lanka ODI Series,Mahinda Rajapaksa International Cricket Stadium,male,ODI,Sri Lanka,77,,NLTC Perera,Sri Lanka,bat,Sri Lanka,310,9,50,Pakistan,233,10,43.5,311,50,745161.json
8/26/2014,ICC Women's Championship,Peter Burge Oval,female,ODI,Australia,,8,NE Bolton,Pakistan,bat,Pakistan,189,8,50,Australia,190,2,33,190,50,754789.json
8/27/2014,India in England ODI Series,Sophia Gardens,male,ODI,India,133,,SK Raina,England,field,India,304,6,50,England,161,10,38.1,295,47,667723.json
8/27/2014,Zimbabwe Triangular Series,Harare Sports Club,male,ODI,South Africa,,7,AB de Villiers,South Africa,field,Australia,327,7,50,South Africa,328,3,46.4,328,50,736445.json
8/29/2014,Zimbabwe Triangular Series,Harare Sports Club,male,ODI,South Africa,61,,P Utseya,Zimbabwe,field,South Africa,231,10,49.5,Zimbabwe,170,10,38.3,232,50,736447.json
8/30/2014,India in England ODI Series,Trent Bridge,male,ODI,India,,6,R Ashwin,India,field,England,227,10,50,India,228,4,43,228,50,667725.json
8/30/2014,Pakistan in Sri Lanka ODI Series,Rangiri Dambulla International Stadium,male,ODI,Sri Lanka,,7,NLTC Perera,Pakistan,bat,Pakistan,102,10,32.1,Sri Lanka,104,3,18.2,101,48,745163.json
8/31/2014,Zimbabwe Triangular Series,Harare Sports Club,male,ODI,Zimbabwe,,3,E Chigumbura,Australia,bat,Australia,209,9,50,Zimbabwe,211,7,48,210,50,736449.json
9/2/2014,India in England ODI Series,Edgbaston,male,ODI,India,,9,AM Rahane,India,field,England,206,10,49.3,India,212,1,30.3,207,50,667727.json
9/2/2014,Zimbabwe Triangular Series,Harare Sports Club,male,ODI,Australia,62,,MR Marsh,South Africa,field,Australia,282,7,50,South Africa,220,10,44,283,50,736451.json
9/4/2014,Zimbabwe Triangular Series,Harare Sports Club,male,ODI,South Africa,63,,F du Plessis,Zimbabwe,field,South Africa,271,6,50,Zimbabwe,208,10,47.2,272,50,736453.json
9/5/2014,India in England ODI Series,Headingley,male,ODI,England,41,,JE Root,India,field,England,294,7,50,India,253,10,48.4,295,50,667729.json
9/6/2014,Zimbabwe Triangular Series,Harare Sports Club,male,ODI,South Africa,,6,DW Steyn,South Africa,field,Australia,217,9,50,South Africa,221,4,40.5,218,50,736455.json
9/8/2014,Scotland in Ireland ODI Series,The Village,male,ODI,Ireland,,7,,Ireland,field,Scotland,172,10,40.3,Ireland,173,3,36.4,173,50,727935.json
9/10/2014,Scotland in Ireland ODI Series,The Village,male,ODI,Ireland,,3,,Ireland,field,Scotland,221,10,49.5,Ireland,225,7,44.2,222,50,727937.json
9/12/2014,Scotland in Ireland ODI Series,The Village,male,ODI,Scotland,,8,,Scotland,field,Ireland,241,9,50,Scotland,243,2,45.4,242,50,727939.json
10/7/2014,Pakistan v Australia ODI Series,Sharjah Cricket Stadium,male,ODI,Australia,93,,SPD Smith,Australia,bat,Australia,255,8,50,Pakistan,162,10,36.3,256,50,727919.json
10/8/2014,West Indies in India ODI Series,Nehru Stadium,male,ODI,West Indies,124,,MN Samuels,India,field,West Indies,321,6,50,India,197,10,41,322,50,770121.json
10/10/2014,Pakistan v Australia ODI Series,Dubai International Cricket Stadium,male,ODI,Australia,,5,GJ Maxwell,Pakistan,bat,Pakistan,215,10,49.3,Australia,217,5,43.2,216,50,727921.json
10/11/2014,West Indies in India ODI Series,Feroz Shah Kotla,male,ODI,India,48,,Mohammed Shami,India,bat,India,263,7,50,West Indies,215,10,46.3,264,50,770123.json
10/12/2014,Pakistan v Australia ODI Series,Sheikh Zayed Stadium,male,ODI,Australia,1,,GJ Maxwell,Australia,bat,Australia,231,9,50,Pakistan,230,10,50,232,50,727923.json
10/17/2014,ICC Women's Championship,Sinhalese Sports Club Ground,female,ODI,,,,,Sri Lanka,bat,Sri Lanka,209,8,50,,,,,,,757505.json
10/17/2014,West Indies in India ODI Series,Himachal Pradesh Cricket Association Stadium,male,ODI,India,59,,V Kohli,West Indies,field,India,330,6,50,West Indies,271,10,48.1,331,50,770127.json
10/19/2014,ICC Women's Championship,Sinhalese Sports Club Ground,female,ODI,Sri Lanka,,4,AC Jayangani,Sri Lanka,field,South Africa,139,7,27,Sri Lanka,143,6,26,140,27,757507.json
10/21/2014,South Africa in New Zealand ODI Series,Bay Oval,male,ODI,South Africa,,6,AB de Villiers,South Africa,field,New Zealand,230,10,45.1,South Africa,236,4,48.1,231,50,749771.json
10/21/2014,South Africa Women in Sri Lanka ODI Series,Sinhalese Sports Club Ground,female,ODI,South Africa,,5,T Chetty,South Africa,field,Sri Lanka,137,10,43.4,South Africa,141,5,34.5,138,50,757509.json
10/24/2014,South Africa in New Zealand ODI Series,Bay Oval,male,ODI,South Africa,72,,HM Amla,New Zealand,field,South Africa,282,9,50,New Zealand,210,10,46.3,283,50,749773.json
10/27/2014,South Africa in New Zealand ODI Series,Seddon Park,male,ODI,,,,,New Zealand,field,South Africa,157,3,30.4,,,,,,,749775.json
11/2/2014,Sri Lanka in India ODI Series,Barabati Stadium,male,ODI,India,169,,AM Rahane,Sri Lanka,field,India,363,5,50,Sri Lanka,194,10,39.2,364,50,792289.json
11/6/2014,Sri Lanka in India ODI Series,Sardar Patel Stadium,male,ODI,India,,6,AT Rayudu,Sri Lanka,bat,Sri Lanka,274,8,50,India,275,4,44.3,275,50,792291.json
11/9/2014,Sri Lanka in India ODI Series,Rajiv Gandhi International Stadium,male,ODI,India,,6,DPMD Jayawardene,Sri Lanka,bat,Sri Lanka,242,10,48.2,India,245,4,44.1,243,50,792293.json
11/11/2014,ICC Women's Championship,Hurstville Oval,female,ODI,Australia,,3,SR Taylor,Australia,field,West Indies,240,8,50,Australia,241,7,49.3,241,50,754809.json
11/13/2014,ICC Women's Championship,Hurstville Oval,female,ODI,Australia,53,,EA Perry,Australia,bat,Australia,256,10,50,West Indies,203,8,50,257,50,754811.json
11/13/2014,Sri Lanka in India ODI Series,Eden Gardens,male,ODI,India,153,,RG Sharma,India,bat,India,404,5,50,Sri Lanka,251,10,43.1,405,50,792295.json
11/14/2014,South Africa in Australia ODI Series,Western Australia Cricket Association Ground,male,ODI,Australia,32,,NM Coulter-Nile,South Africa,field,Australia,300,8,50,South Africa,268,10,48.1,301,50,754723.json
11/16/2014,South Africa in Australia ODI Series,Western Australia Cricket Association Ground,male,ODI,South Africa,,3,M Morkel,Australia,bat,Australia,154,10,41.4,South Africa,157,7,27.4,155,50,754725.json
11/16/2014,ICC Women's Championship,Bradman Oval,female,ODI,Australia,,8,MM Lanning,West Indies,bat,West Indies,220,8,50,Australia,222,2,43.1,221,50,754813.json
11/16/2014,Sri Lanka in India ODI Series,JSCA International Stadium Complex,male,ODI,India,,3,AD Mathews,Sri Lanka,bat,Sri Lanka,286,8,50,India,288,7,48.4,287,50,792297.json
11/18/2014,West Indies Women in Australia ODI Series,Bradman Oval,female,ODI,Australia,148,,EA Perry,Australia,bat,Australia,275,5,50,West Indies,127,9,24.5,276,50,754815.json
11/19/2014,South Africa in Australia ODI Series,Manuka Oval,male,ODI,Australia,73,,SPD Smith,Australia,bat,Australia,329,5,50,South Africa,256,9,44.3,330,50,754727.json
11/21/2014,South Africa in Australia ODI Series,Melbourne Cricket Ground,male,ODI,Australia,,3,SPD Smith,South Africa,bat,South Africa,267,8,50,Australia,268,7,49,268,50,754729.json
11/21/2014,Zimbabwe in Bangladesh ODI Series,Zahur Ahmed Chowdhury Stadium,male,ODI,Bangladesh,87,,Shakib Al Hasan,Zimbabwe,field,Bangladesh,281,7,50,Zimbabwe,194,10,42.1,282,50,760787.json
11/23/2014,South Africa in Australia ODI Series,Sydney Cricket Ground,male,ODI,Australia,,2,Q de Kock,South Africa,bat,South Africa,280,6,50,Australia,275,8,47.1,275,48,754731.json
11/23/2014,Zimbabwe in Bangladesh ODI Series,Zahur Ahmed Chowdhury Stadium,male,ODI,Bangladesh,68,,Mashrafe Mortaza,Bangladesh,bat,Bangladesh,251,7,50,Zimbabwe,183,10,44.5,252,50,760789.json
11/26/2014,England in Sri Lanka ODI Series,R Premadasa Stadium,male,ODI,Sri Lanka,25,,TM Dilshan,England,field,Sri Lanka,317,6,50,England,292,10,47.1,318,50,750663.json
11/26/2014,Zimbabwe in Bangladesh ODI Series,Shere Bangla National Stadium,male,ODI,Bangladesh,124,,Anamul Haque,Zimbabwe,field,Bangladesh,297,6,50,Zimbabwe,173,10,39.5,298,50,760791.json
11/28/2014,Zimbabwe in Bangladesh ODI Series,Shere Bangla National Stadium,male,ODI,Bangladesh,21,,Mahmudullah,Bangladesh,bat,Bangladesh,256,8,50,Zimbabwe,235,8,50,257,50,760793.json
11/29/2014,England in Sri Lanka ODI Series,R Premadasa Stadium,male,ODI,Sri Lanka,,8,DPMD Jayawardene,England,bat,England,185,10,43,Sri Lanka,186,2,34.2,186,45,750665.json
12/1/2014,Zimbabwe in Bangladesh ODI Series,Shere Bangla National Stadium,male,ODI,Bangladesh,,5,Taijul Islam,Zimbabwe,bat,Zimbabwe,128,10,30,Bangladesh,130,5,24.3,129,50,760795.json
12/3/2014,England in Sri Lanka ODI Series,Mahinda Rajapaksa International Cricket Stadium,male,ODI,England,,5,JC Buttler,Sri Lanka,bat,Sri Lanka,242,8,35,England,236,5,33.4,236,35,750667.json
12/7/2014,England in Sri Lanka ODI Series,R Premadasa Stadium,male,ODI,Sri Lanka,,6,KC Sangakkara,England,bat,England,265,10,50,Sri Lanka,267,4,49.4,266,50,750669.json
12/8/2014,Pakistan v New Zealand ODI Series,Dubai International Cricket Stadium,male,ODI,Pakistan,,3,Haris Sohail,Pakistan,field,New Zealand,246,7,50,Pakistan,250,7,49.3,247,50,742619.json
12/10/2014,England in Sri Lanka ODI Series,Pallekele International Cricket Stadium,male,ODI,England,,5,JE Root,England,field,Sri Lanka,239,10,49,England,240,5,49.1,240,50,750671.json
12/12/2014,Pakistan v New Zealand ODI Series,Sharjah Cricket Stadium,male,ODI,New Zealand,,4,KS Williamson,Pakistan,bat,Pakistan,252,10,48.3,New Zealand,255,6,46,253,50,742621.json
12/13/2014,England in Sri Lanka ODI Series,Pallekele International Cricket Stadium,male,ODI,Sri Lanka,90,,KC Sangakkara,Sri Lanka,bat,Sri Lanka,292,7,50,England,202,10,41.3,293,50,750673.json
12/14/2014,Pakistan v New Zealand ODI Series,Sharjah Cricket Stadium,male,ODI,Pakistan,147,,Ahmed Shehzad,Pakistan,bat,Pakistan,364,7,50,New Zealand,217,10,38.2,365,50,742623.json
12/16/2014,England in Sri Lanka ODI Series,R Premadasa Stadium,male,ODI,Sri Lanka,87,,TM Dilshan,Sri Lanka,bat,Sri Lanka,302,6,50,England,215,10,45.5,303,50,750675.json
12/17/2014,Pakistan v New Zealand ODI Series,Sheikh Zayed Stadium,male,ODI,New Zealand,7,,KS Williamson,New Zealand,bat,New Zealand,299,5,50,Pakistan,292,8,50,300,50,742625.json
12/19/2014,Pakistan v New Zealand ODI Series,Sheikh Zayed Stadium,male,ODI,New Zealand,68,,MJ Henry,New Zealand,bat,New Zealand,275,4,50,Pakistan,207,10,43.3,276,50,742627.json
1/11/2015,Sri Lanka in New Zealand ODI Series,Hagley Oval,male,ODI,New Zealand,,3,CJ Anderson,Sri Lanka,bat,Sri Lanka,218,9,50,New Zealand,219,7,43,219,50,749781.json
1/11/2015,ICC Women's Championship,Sharjah Cricket Stadium,female,ODI,Pakistan,12,,Sana Mir,Pakistan,bat,Pakistan,138,9,50,Sri Lanka,126,10,45.1,139,50,808863.json
1/12/2015,Dubai Triangular Series,Dubai International Cricket Stadium,male,ODI,Ireland,,3,NJ O'Brien,Ireland,field,Scotland,216,9,50,Ireland,220,7,46.3,217,50,810829.json
1/13/2015,ICC Women's Championship,Sharjah Cricket Stadium,female,ODI,Pakistan,,7,Javeria Khan,Sri Lanka,bat,Sri Lanka,242,5,50,Pakistan,245,3,47.2,243,50,808865.json
1/15/2015,Sri Lanka in New Zealand ODI Series,Seddon Park,male,ODI,Sri Lanka,,6,TM Dilshan,New Zealand,bat,New Zealand,248,10,50,Sri Lanka,252,4,47.4,249,50,749783.json
1/16/2015,West Indies in South Africa ODI Series,Kingsmead,male,ODI,South Africa,61,,AB de Villiers,South Africa,bat,South Africa,279,8,48.2,West Indies,164,10,28.2,226,32,722339.json
1/16/2015,Carlton Mid One-Day International Tri-Series,Sydney Cricket Ground,male,ODI,Australia,,3,MA Starc,England,bat,England,234,10,47.5,Australia,235,7,39.5,235,50,754751.json
1/17/2015,Sri Lanka in New Zealand ODI Series,Eden Park,male,ODI,,,,,Sri Lanka,field,New Zealand,145,3,28.5,,,,,,,749785.json
1/18/2015,West Indies in South Africa ODI Series,New Wanderers Stadium,male,ODI,South Africa,148,,AB de Villiers,West Indies,field,South Africa,439,2,50,West Indies,291,7,50,440,50,722341.json
1/18/2015,Carlton Mid One-Day International Tri-Series,Melbourne Cricket Ground,male,ODI,Australia,,4,MA Starc,India,bat,India,267,8,50,Australia,269,6,49,268,50,754749.json
1/20/2015,Sri Lanka in New Zealand ODI Series,Saxton Oval,male,ODI,New Zealand,,4,KS Williamson,Sri Lanka,bat,Sri Lanka,276,10,49.3,New Zealand,280,6,48.1,277,50,749787.json
1/20/2015,Carlton Mid One-Day International Tri-Series,Brisbane Cricket Ground,male,ODI,England,,9,ST Finn,India,bat,India,153,10,39.3,England,156,1,27.3,154,50,754753.json
1/21/2015,West Indies in South Africa ODI Series,Buffalo Park,male,ODI,South Africa,,9,VD Philander,West Indies,bat,West Indies,122,10,33.4,South Africa,124,1,24.4,123,50,722343.json
1/23/2015,Sri Lanka in New Zealand ODI Series,University Oval,male,ODI,New Zealand,108,,GD Elliott,Sri Lanka,field,New Zealand,360,5,50,Sri Lanka,252,10,43.4,361,50,749789.json
1/23/2015,Carlton Mid One-Day International Tri-Series,Bellerive Oval,male,ODI,Australia,,3,SPD Smith,Australia,field,England,303,8,50,Australia,304,7,49.5,304,50,754755.json
1/25/2015,West Indies in South Africa ODI Series,St George's Park,male,ODI,West Indies,,1,AD Russell,West Indies,field,South Africa,262,8,50,West Indies,266,9,48.3,263,50,722345.json
1/25/2015,Sri Lanka in New Zealand ODI Series,University Oval,male,ODI,New Zealand,120,,CJ Anderson,New Zealand,bat,New Zealand,315,8,50,Sri Lanka,195,10,40.3,316,50,749791.json
1/26/2015,Carlton Mid One-Day International Tri-Series,Sydney Cricket Ground,male,ODI,,,,,Australia,field,India,69,2,16,,,,,,,754757.json
1/28/2015,West Indies in South Africa ODI Series,SuperSport Park,male,ODI,South Africa,131,,RR Rossouw,West Indies,field,South Africa,361,5,42,West Indies,230,10,37.4,362,42,722347.json
1/29/2015,Sri Lanka in New Zealand ODI Series,Westpac Stadium,male,ODI,Sri Lanka,34,,KC Sangakkara,Sri Lanka,bat,Sri Lanka,287,6,50,New Zealand,253,10,45.2,288,50,749793.json
1/30/2015,Carlton Mid One-Day International Tri-Series,Western Australia Cricket Association Ground,male,ODI,England,,3,JWA Taylor,England,field,India,200,10,48.1,England,201,7,46.5,201,50,754759.json
1/31/2015,Pakistan in New Zealand ODI Series,Westpac Stadium,male,ODI,New Zealand,,7,GD Elliott,New Zealand,field,Pakistan,210,10,45.3,New Zealand,213,3,39.3,211,50,749795.json
2/1/2015,Carlton Mid One-Day International Tri-Series,Western Australia Cricket Association Ground,male,ODI,Australia,112,,GJ Maxwell,England,field,Australia,278,8,50,England,166,10,39.1,279,50,754761.json
2/3/2015,Pakistan in New Zealand ODI Series,McLean Park,male,ODI,New Zealand,119,,KS Williamson,New Zealand,bat,New Zealand,369,5,50,Pakistan,250,10,43.1,370,50,749797.json
2/14/2015,ICC Cricket World Cup,Hagley Oval,male,ODI,New Zealand,98,,CJ Anderson,Sri Lanka,field,New Zealand,331,6,50,Sri Lanka,233,10,46.1,332,50,656399.json
2/14/2015,ICC Cricket World Cup,Melbourne Cricket Ground,male,ODI,Australia,111,,AJ Finch,England,field,Australia,342,9,50,England,231,10,41.5,343,50,656401.json
2/15/2015,ICC Cricket World Cup,Seddon Park,male,ODI,South Africa,62,,DA Miller,Zimbabwe,field,South Africa,339,4,50,Zimbabwe,277,10,48.2,340,50,656403.json
2/15/2015,ICC Cricket World Cup,Adelaide Oval,male,ODI,India,76,,V Kohli,India,bat,India,300,7,50,Pakistan,224,10,47,301,50,656405.json
